gene	n.umis	n.tot	efficiency	depth	loss	n.obs
FBtr0079550	12	13.1	0.62	5.12	0.0837	12
FBtr0079586	24	25.4	0.578	5.94	0.0538	24
FBtr0079589	1	1.09	0.559	5.39	0.0804	1
FBtr0079594	2	2.17	0.559	5.39	0.0804	2
FBtr0079598	44	53.3	0.316	4.94	0.175	44
FBtr0079599	16	17.4	0.548	5.45	0.0797	16
FBtr0079600	43	44.9	0.654	5.98	0.0421	43
FBtr0079601	121	133	0.454	5.6	0.0903	121
FBtr0079602-M	1	1.09	0.559	5.39	0.0804	1
FBtr0079605	359	414	0.66	4.14	0.133	359
FBtr0079612	3	3.34	0.521	5.38	0.102	3
FBtr0079613	223	237	0.657	5.61	0.0581	223
FBtr0079628-M	234	257	0.391	5.92	0.0889	234
FBtr0079631	222	237	0.596	5.71	0.0635	222
FBtr0079632	40	43.3	0.587	5.36	0.0757	40
FBtr0079634-M	39	45.6	0.428	4.91	0.146	39
FBtr0079637	3	3.26	0.559	5.39	0.0804	3
FBtr0079639	23	24.2	0.625	5.74	0.0503	23
FBtr0079641-M	59	61.7	0.579	6.46	0.0441	59
FBtr0079642	9	9.73	0.6	5.28	0.0746	9
FBtr0079650	46	50.3	0.585	5.17	0.0861	46
FBtr0079651	27	29.3	0.508	5.68	0.0789	27
FBtr0079652-M	23	24.8	0.65	5.13	0.0737	23
FBtr0079654-M	44	46.5	0.544	6.24	0.0534	44
FBtr0079682	47	48.6	0.716	6.1	0.032	47
FBtr0079696	42	44.3	0.657	5.62	0.0516	42
FBtr0079697	24	26.8	0.454	5.48	0.105	24
FBtr0079708	60	65.6	0.536	5.38	0.0853	60
FBtr0079712-M	5	5.72	0.514	5.2	0.126	5
FBtr0079723	8	8.45	0.62	5.62	0.0535	8
FBtr0079727-M	825	869	0.628	6.06	0.0511	825
FBtr0079750	32	34.1	0.646	5.39	0.0613	32
FBtr0079751	1	1.09	0.559	5.39	0.0804	1
FBtr0079753-M	1	1.09	0.559	5.39	0.0804	1
FBtr0079762	19	20.1	0.697	5.28	0.0535	19
FBtr0079768	1	1.09	0.559	5.39	0.0804	1
FBtr0079774	73	76.9	0.607	5.99	0.0513	73
FBtr0079783	2	2.17	0.559	5.39	0.0804	2
FBtr0079787-M	15	16	0.587	5.54	0.0645	15
FBtr0079788	81	85.4	0.681	5.62	0.0513	81
FBtr0079805	1	1.09	0.559	5.39	0.0804	1
FBtr0079810	5	5.64	0.588	5.09	0.114	5
FBtr0079818-M	71	74.4	0.622	6.11	0.0459	71
FBtr0079825-M	3	3.3	0.588	5.23	0.0899	3
FBtr0079829	1	1.09	0.559	5.39	0.0804	1
FBtr0079835-M	12	12.7	0.657	5.45	0.0514	12
FBtr0079842-M	9	9.64	0.588	5.47	0.0665	9
FBtr0079848	188	229	0.559	3.88	0.18	188
FBtr0079852-M	102	115	0.401	5.36	0.112	102
FBtr0079863-M	1	1.09	0.559	5.39	0.0804	1
FBtr0079869-M	107	114	0.596	5.81	0.0591	107
FBtr0079870-M	60	66.2	0.505	5.35	0.0934	60
FBtr0079883-M	10	10.5	0.644	5.66	0.048	10
FBtr0079891	10	11.3	0.474	5.34	0.118	10
FBtr0079901-M	22	23.4	0.632	5.44	0.0598	22
FBtr0079911	9	9.67	0.558	5.57	0.0697	9
FBtr0079913-M	1	1.09	0.559	5.39	0.0804	1
FBtr0079917	7	8.26	0.561	4.93	0.153	7
FBtr0079929-M	7	8.15	0.478	5.18	0.141	7
FBtr0079944-M	51	53	0.801	5.43	0.0372	51
FBtr0079947	18	18.7	0.692	5.72	0.0394	18
FBtr0079950-M	10	10.5	0.644	5.61	0.049	10
FBtr0079952-M	361	381	0.739	5.5	0.0519	361
FBtr0079954-M	32	35.6	0.547	5.1	0.101	32
FBtr0079958	20	21.8	0.51	5.61	0.082	20
FBtr0079959	2	2.17	0.559	5.39	0.0804	2
FBtr0079960	50	55.2	0.445	5.62	0.0949	50
FBtr0079962	12	12.7	0.613	5.62	0.0545	12
FBtr0079971	1	1.09	0.559	5.39	0.0804	1
FBtr0079984	10	10.6	0.644	5.41	0.0556	10
FBtr0079985	17	17.7	0.686	5.68	0.041	17
FBtr0079987	51	59.4	0.359	5.17	0.141	51
FBtr0079988	860	1272	0.292	2.89	0.324	860
FBtr0079989-M	4	4.34	0.549	5.46	0.079	4
FBtr0079992	83	89.5	0.648	5.21	0.0723	83
FBtr0079998-M	13	13.7	0.603	5.93	0.0489	13
FBtr0080003	59	63.9	0.544	5.55	0.0763	59
FBtr0080004-M	5	5.43	0.565	5.36	0.0799	5
FBtr0080005-M	20	21.4	0.577	5.58	0.0659	20
FBtr0080006	1	1.09	0.559	5.39	0.0804	1
FBtr0080018-M	12	12.8	0.602	5.49	0.0622	12
FBtr0080019	42	45.3	0.673	5.08	0.0729	42
FBtr0080020-M	170	179	0.695	5.72	0.0492	170
FBtr0080024	5	5.45	0.542	5.46	0.0819	5
FBtr0080026	28	30.1	0.574	5.49	0.0713	28
FBtr0080032-M	11	11.9	0.563	5.5	0.0719	11
FBtr0080038	23	24	0.715	5.5	0.0421	23
FBtr0080044	5	5.32	0.606	5.54	0.0593	5
FBtr0080047	103	107	0.671	6.17	0.0395	103
FBtr0080064-M	126	135	0.603	5.55	0.0669	126
FBtr0080071	39	42.4	0.502	5.69	0.0795	39
FBtr0080074	98	105	0.628	5.43	0.0667	98
FBtr0080086	106	110	0.804	5.75	0.0329	106
FBtr0080087	39	40.8	0.599	6.2	0.0452	39
FBtr0080110	23	25.9	0.562	4.94	0.113	23
FBtr0080111	6	6.86	0.497	5.24	0.126	6
FBtr0080112	17	18.3	0.633	5.26	0.0686	17
FBtr0080113	23	24.8	0.575	5.42	0.0743	23
FBtr0080119	33	35.5	0.608	5.36	0.0707	33
FBtr0080122	92	98.1	0.675	5.34	0.0625	92
FBtr0080162	1	1.09	0.559	5.39	0.0804	1
FBtr0080165-M	104	109	0.642	6.01	0.0471	104
FBtr0080168-M	44	47.9	0.48	5.76	0.0814	44
FBtr0080187-M	71	77.6	0.505	5.52	0.0848	71
FBtr0080191	58	62.9	0.588	5.31	0.078	58
FBtr0080200	21	24.1	0.406	5.41	0.128	21
FBtr0080202-M	14	14.8	0.609	5.65	0.0548	14
FBtr0080212	5	5.3	0.606	5.79	0.0566	5
FBtr0080222	37	43.3	0.411	4.98	0.146	37
FBtr0080226	36	39.2	0.596	5.23	0.0805	36
FBtr0080230	89	99.1	0.397	5.62	0.102	89
FBtr0080232-M	102	123	0.162	5.43	0.168	102
FBtr0080239	63	66.6	0.69	5.44	0.0547	63
FBtr0080246	12	14	0.492	4.99	0.146	12
FBtr0080248	14	18.8	0.439	4.52	0.253	14
FBtr0080286-M	3	3.21	0.588	5.64	0.0642	3
FBtr0080290	93	98.5	0.673	5.53	0.056	93
FBtr0080306	203	232	0.449	4.83	0.126	203
FBtr0080308	89	94	0.663	5.66	0.0532	89
FBtr0080309	9	9.8	0.582	5.27	0.0819	9
FBtr0080312	10	11.1	0.49	5.45	0.102	10
FBtr0080313	56	60.7	0.576	5.36	0.0781	56
FBtr0080325	16	16.9	0.629	5.64	0.0515	16
FBtr0080330	40	49.3	0.311	4.84	0.188	40
FBtr0080342	32	36.5	0.415	5.32	0.123	32
FBtr0080358	46	50.7	0.509	5.37	0.0922	46
FBtr0080364	43	46.2	0.636	5.3	0.0684	43
FBtr0080367	9	11.1	0.482	4.87	0.186	9
FBtr0080396-M	2	2.17	0.559	5.39	0.0804	2
FBtr0080397-M	30	32.1	0.534	5.9	0.0643	30
FBtr0080398	106	112	0.658	5.61	0.0561	106
FBtr0080406	5	5.31	0.588	5.76	0.0587	5
FBtr0080411	226	237	0.688	5.84	0.0475	226
FBtr0080430	76	84.8	0.479	5.23	0.104	76
FBtr0080435	60	65.4	0.552	5.36	0.0828	60
FBtr0080436	20	20.7	0.691	6.07	0.0344	20
FBtr0080437	5	5.81	0.499	5.17	0.14	5
FBtr0080438-M	27	29.5	0.467	5.76	0.086	27
FBtr0080439-M	325	348	0.501	6.12	0.0656	325
FBtr0080444	9	9.6	0.637	5.31	0.0621	9
FBtr0080445	44	46.1	0.694	5.63	0.0455	44
FBtr0080460-M	18	19.2	0.554	5.86	0.0605	18
FBtr0080465	52	53.4	0.753	6.21	0.0267	52
FBtr0080470	93	102	0.446	5.8	0.0851	93
FBtr0080471	23	23.9	0.689	5.94	0.0361	23
FBtr0080472-M	193	212	0.508	5.32	0.0912	193
FBtr0080483	28	29.2	0.712	5.63	0.04	28
FBtr0080484	35	36.2	0.676	6.2	0.0342	35
FBtr0080488	16	17.3	0.538	5.58	0.0758	16
FBtr0080492	22	24.5	0.521	5.21	0.103	22
FBtr0080493	13	14.5	0.472	5.48	0.105	13
FBtr0080499	6	7.92	0.501	4.8	0.242	6
FBtr0080500-M	24	28.1	0.355	5.43	0.145	24
FBtr0080519	16	17.4	0.522	5.56	0.0816	16
FBtr0080522-M	34	36.3	0.624	5.43	0.064	34
FBtr0080525-M	13	13.8	0.64	5.38	0.0588	13
FBtr0080541	23	24.3	0.598	5.84	0.0526	23
FBtr0080570	168	190	0.534	4.76	0.115	168
FBtr0080629	12	13.3	0.534	5.24	0.1	12
FBtr0080696	21	24	0.497	5.04	0.126	21
FBtr0080705-M	87	90.8	0.795	5.43	0.0418	87
FBtr0080725-M	22	22.8	0.711	5.99	0.033	22
FBtr0080738-M	212	223	0.618	6.04	0.0514	212
FBtr0080760	25	28.5	0.405	5.46	0.122	25
FBtr0080765	3	3.31	0.545	5.32	0.0942	3
FBtr0080833	65	69.8	0.678	5.17	0.0684	65
